request_id,request_datetime,state,urban_rural,population_density_per_sqkm,building_type,dwelling_floors,floor_number,distance_to_exchange_km,distance_to_fiber_km,technology_type,existing_infrastructure,terrain_type,soil_type,vegetation_density,road_access_type,temperature_c,rain_mm_last24h,wind_speed_kmh,storm_flag,flood_warning_flag,bushfire_warning_flag,crew_available_at_request,backlog_open_jobs_region,public_holiday_flag,day_of_week,time_of_day_bucket,sla_hours,actual_eta_hours
REQ_00116,2024-09-18T08:00:00,VIC,Suburban,2354.28,Small_Business,2,2,4.42,2.01,Satellite,ADSL,Coastal,Sand,Low,Seasonal,13.6,0.1,21.1,0,0,0,1,17,0,Wednesday,Morning,87,110.6
REQ_00117,2024-04-16T03:00:00,SA,Remote,26.68,Apartment,12,1,2.53,30.23,FTTP,4G_only,Hilly,Mixed,Medium,Sealed,29.3,3.2,24.0,0,0,0,1,9,0,Tuesday,Night,102,109.0
REQ_00118,2024-03-21T09:00:00,ACT,Suburban,2715.49,Industrial,1,1,0.21,0.62,FTTP,ADSL,Flat,Mixed,Medium,Seasonal,16.0,0.0,11.8,0,0,0,1,7,0,Thursday,Morning,66,83.0
REQ_00119,2024-07-03T15:00:00,SA,Urban,2965.35,Townhouse,2,2,3.08,1.85,FTTP,ADSL,Hilly,Rock,Low,Sealed,19.0,2.6,18.1,0,0,0,1,60,0,Wednesday,Afternoon,80,134.8
REQ_00120,2024-09-17T16:00:00,TAS,Urban,4321.13,Townhouse,2,1,3.88,2.23,FTTP,None,Coastal,Sand,Medium,Sealed,9.1,0.1,18.6,0,0,0,1,2,0,Tuesday,Afternoon,74,88.5
REQ_00121,2024-12-10T10:00:00,NSW,Urban,6309.91,Townhouse,2,1,4.9,0.58,FTTP,None,Outback,Clay,Low,Unsealed,19.7,1.6,28.4,0,0,0,1,39,0,Tuesday,Morning,78,187.3
REQ_00122,2024-09-23T20:00:00,WA,Suburban,2265.05,Detached_House,1,1,2.58,1.37,FTTN,None,Outback,Sand,Low,Seasonal,18.1,2.9,10.2,0,0,0,1,2,0,Monday,Evening,79,136.9
REQ_00123,2024-07-27T06:00:00,QLD,Suburban,1117.45,Detached_House,2,2,2.26,2.55,FTTP,4G_only,Hilly,Sand,Low,Unsealed,22.8,4.8,11.1,0,0,0,0,14,0,Saturday,Morning,80,115.5
REQ_00124,2024-09-21T06:00:00,TAS,Urban,4057.41,Townhouse,2,1,2.57,2.94,FTTP,4G_only,Outback,Sand,Medium,Sealed,9.9,0.0,8.3,0,0,0,1,5,0,Saturday,Morning,71,86.7
REQ_00125,2024-11-02T01:00:00,TAS,Suburban,2300.02,Apartment,12,1,2.71,0.43,FTTN,None,Outback,Sand,Medium,Seasonal,11.0,0.0,20.5,0,0,0,1,11,1,Saturday,Night,65,121.1
REQ_00126,2024-06-05T06:00:00,SA,Suburban,1863.58,Apartment,26,10,4.89,2.4,FTTP,ADSL,Coastal,Mixed,Medium,Sealed,24.1,1.1,21.7,0,0,0,1,21,0,Wednesday,Morning,79,79.2
REQ_00127,2024-09-28T15:00:00,NT,Urban,2320.65,Apartment,17,9,2.89,2.28,FTTN,None,Hilly,Rock,Medium,Sealed,29.2,0.0,31.2,0,0,0,1,4,0,Saturday,Afternoon,62,74.7
REQ_00128,2024-10-12T12:00:00,TAS,Urban,7769.1,Highrise_Office,21,9,2.97,1.94,HFC,ADSL,Outback,Mixed,Low,Unsealed,12.4,3.8,21.1,0,0,0,1,2,0,Saturday,Afternoon,71,104.0
REQ_00129,2024-01-11T18:00:00,WA,Urban,7331.71,Detached_House,2,1,0.36,1.15,FTTN,4G_only,Coastal,Mixed,Medium,Sealed,26.3,0.1,19.5,0,0,0,1,51,0,Thursday,Evening,78,158.1
REQ_00130,2024-07-31T20:00:00,TAS,Suburban,2169.8,Townhouse,2,2,2.25,0.57,Satellite,Cable,Coastal,Sand,Low,Sealed,14.0,0.0,24.5,0,0,0,1,33,0,Wednesday,Evening,76,161.9
REQ_00131,2024-01-12T00:00:00,ACT,Urban,6823.91,Industrial,3,1,2.46,2.48,FTTN,None,Flat,Rock,Medium,Sealed,11.6,1.0,10.1,0,0,0,1,6,0,Friday,Night,75,104.3
REQ_00132,2024-03-12T11:00:00,ACT,Rural,181.55,Industrial,2,1,22.9,23.51,FTTP,ADSL,Mountainous,Rock,Low,Sealed,21.2,3.0,18.4,0,0,0,1,0,0,Tuesday,Morning,99,110.6
REQ_00133,2024-01-07T11:00:00,QLD,Suburban,2204.17,Detached_House,1,1,4.22,0.91,Fixed_Wireless,ADSL,Outback,Rock,Low,Sealed,29.1,1.2,23.1,0,0,0,1,3,1,Sunday,Morning,92,113.5
REQ_00134,2024-11-11T08:00:00,WA,Rural,154.38,Highrise_Office,37,33,43.96,1.01,Satellite,4G_only,Outback,Sand,Medium,Sealed,20.3,0.0,2.5,0,0,0,1,7,0,Monday,Morning,98,109.0
REQ_00135,2024-09-12T22:00:00,SA,Urban,2219.68,Townhouse,2,2,4.61,0.91,Fixed_Wireless,ADSL,Mountainous,Rock,Low,Unsealed,16.4,6.2,21.0,0,0,0,1,24,0,Thursday,Night,91,152.3
REQ_00136,2024-03-04T19:00:00,ACT,Urban,5628.08,Industrial,4,1,0.53,0.86,HFC,None,Outback,Clay,Low,Sealed,25.2,0.0,1.4,0,0,0,1,1,0,Monday,Evening,68,106.4
REQ_00137,2024-08-30T19:00:00,QLD,Urban,1919.19,Industrial,1,1,1.83,2.97,FTTN,5G_available,Outback,Sand,High,Sealed,24.2,4.5,33.0,0,0,0,1,8,0,Friday,Evening,70,114.6
REQ_00138,2024-11-23T03:00:00,NSW,Suburban,787.33,Townhouse,2,1,0.51,2.87,FTTN,ADSL,Outback,Mixed,Medium,Sealed,15.8,0.0,10.9,0,0,0,1,9,1,Saturday,Night,78,117.3
REQ_00139,2024-11-28T18:00:00,VIC,Urban,4394.1,Apartment,27,7,0.83,0.78,FTTN,Cable,Coastal,Rock,Low,Sealed,11.0,0.9,7.6,0,0,0,1,4,0,Thursday,Evening,65,58.0
REQ_00140,2024-07-22T03:00:00,NSW,Urban,5426.47,Townhouse,2,1,2.36,1.47,Satellite,4G_only,Mountainous,Rock,Low,Sealed,16.0,1.9,5.1,0,0,0,1,13,0,Monday,Night,77,100.2
REQ_00141,2024-07-26T08:00:00,ACT,Urban,2923.95,Small_Business,1,1,2.42,1.37,HFC,None,Outback,Rock,Low,Unsealed,16.5,0.0,4.3,0,0,0,1,25,0,Friday,Morning,76,121.7
REQ_00142,2024-07-06T04:00:00,NSW,Urban,5890.23,Small_Business,1,1,1.52,1.24,Satellite,4G_only,Outback,Mixed,Medium,Unsealed,20.1,0.6,21.7,0,0,0,1,14,0,Saturday,Night,84,136.6
REQ_00143,2024-07-11T07:00:00,ACT,Urban,7108.72,Small_Business,1,1,0.49,1.85,FTTP,ADSL,Outback,Mixed,High,Seasonal,15.9,0.5,17.7,0,0,0,1,6,0,Thursday,Morning,78,118.1
REQ_00144,2024-09-02T09:00:00,VIC,Urban,5845.72,Apartment,11,10,2.61,0.5,FTTP,Cable,Outback,Sand,Low,Sealed,11.0,0.0,12.6,0,0,0,1,20,0,Monday,Morning,65,106.1
REQ_00145,2024-09-23T17:00:00,TAS,Urban,1576.09,Detached_House,1,1,2.97,0.23,FTTP,Cable,Outback,Clay,High,Sealed,10.1,0.3,6.8,0,0,0,1,15,0,Monday,Evening,80,100.8
REQ_00146,2024-06-16T12:00:00,QLD,Urban,7101.33,Detached_House,1,1,4.32,2.76,FTTN,None,Hilly,Sand,Low,Unsealed,30.3,0.7,21.3,0,0,0,1,13,0,Sunday,Afternoon,60,78.5
REQ_00147,2024-01-01T06:00:00,NT,Suburban,856.49,Highrise_Office,10,3,0.32,1.97,Fixed_Wireless,ADSL,Outback,Rock,High,Sealed,23.8,0.0,24.7,0,0,0,1,5,0,Monday,Morning,77,116.1
REQ_00148,2024-02-13T22:00:00,QLD,Urban,5973.78,Small_Business,2,2,2.63,2.9,FTTN,ADSL,Mountainous,Sand,Low,Sealed,27.8,0.5,6.2,0,0,0,0,21,0,Tuesday,Night,74,117.8
REQ_00149,2024-08-24T04:00:00,NT,Suburban,2889.8,Apartment,7,2,4.17,2.95,FTTN,ADSL,Flat,Mixed,Medium,Sealed,20.9,0.2,3.1,0,0,0,1,2,0,Saturday,Night,61,64.3
REQ_00150,2024-02-29T23:00:00,NSW,Urban,6108.59,Highrise_Office,26,12,1.33,2.51,HFC,ADSL,Coastal,Clay,High,Sealed,21.0,1.4,17.3,0,0,0,1,2,0,Thursday,Night,61,53.9
REQ_00151,2024-10-04T04:00:00,TAS,Remote,49.7,Apartment,20,19,11.66,16.41,HFC,None,Hilly,Mixed,High,Sealed,8.9,1.3,10.5,0,0,0,1,49,0,Friday,Night,104,159.7
REQ_00152,2024-09-29T10:00:00,QLD,Urban,5070.6,Townhouse,2,2,0.37,2.91,FTTN,4G_only,Outback,Sand,Medium,Sealed,20.5,7.9,7.7,0,0,0,1,10,0,Sunday,Morning,63,79.2
REQ_00153,2024-04-12T06:00:00,VIC,Urban,4012.51,Highrise_Office,34,14,2.39,1.39,HFC,ADSL,Outback,Clay,Low,Sealed,27.6,3.9,28.6,0,0,0,1,83,0,Friday,Morning,67,140.8
REQ_00154,2024-11-15T05:00:00,QLD,Rural,48.05,Townhouse,2,1,3.47,35.01,Satellite,Cable,Coastal,Clay,Medium,Seasonal,11.8,1.2,26.4,0,0,0,1,6,0,Friday,Night,98,115.6
REQ_00155,2024-06-22T00:00:00,SA,Suburban,2483.49,Industrial,2,1,0.63,0.11,Fixed_Wireless,4G_only,Outback,Sand,Medium,Sealed,24.1,2.0,12.1,0,0,0,0,0,0,Saturday,Night,80,136.5
REQ_00156,2024-07-23T01:00:00,TAS,Urban,2004.72,Townhouse,2,1,2.84,1.93,FTTP,None,Coastal,Clay,Low,Sealed,14.6,1.6,9.3,0,0,0,1,4,0,Tuesday,Night,65,65.5
REQ_00157,2024-04-16T11:00:00,VIC,Urban,7112.1,Apartment,5,3,0.31,1.79,HFC,Cable,Outback,Sand,Medium,Unsealed,23.5,0.0,24.6,0,0,0,0,3,0,Tuesday,Morning,78,121.9
REQ_00158,2024-11-14T19:00:00,QLD,Suburban,2061.96,Detached_House,2,2,3.63,2.49,FTTP,4G_only,Outback,Clay,Medium,Sealed,21.2,3.9,23.5,0,0,0,0,22,0,Thursday,Evening,77,134.9
REQ_00159,2024-11-26T07:00:00,TAS,Suburban,2073.89,Detached_House,1,1,0.69,0.65,Satellite,Cable,Coastal,Clay,Medium,Sealed,11.8,1.7,22.4,0,0,0,1,13,0,Tuesday,Morning,79,73.8
REQ_00160,2024-11-21T18:00:00,NT,Rural,166.21,Detached_House,2,2,29.45,36.38,FTTN,5G_available,Coastal,Mixed,Medium,Unsealed,27.0,7.6,0.0,0,0,0,1,16,0,Thursday,Evening,100,117.1
REQ_00161,2024-10-22T14:00:00,ACT,Remote,1.21,Detached_House,1,1,10.77,11.86,Fixed_Wireless,None,Mountainous,Sand,Medium,Unsealed,14.1,7.6,8.6,0,0,0,1,9,0,Tuesday,Afternoon,114,152.1
REQ_00162,2024-08-24T08:00:00,VIC,Suburban,1689.92,Highrise_Office,27,12,0.21,2.59,Fixed_Wireless,ADSL,Hilly,Rock,Medium,Sealed,17.3,0.0,2.3,0,0,0,1,6,0,Saturday,Morning,93,101.0
REQ_00163,2024-03-24T13:00:00,ACT,Urban,2902.31,Detached_House,2,1,0.86,1.99,Fixed_Wireless,4G_only,Flat,Mixed,Low,Sealed,19.7,2.1,24.0,0,0,0,1,18,1,Sunday,Afternoon,75,81.0
REQ_00164,2024-03-10T17:00:00,WA,Urban,5034.74,Apartment,17,5,4.57,2.53,FTTN,None,Flat,Rock,Medium,Sealed,29.9,2.7,8.1,0,0,0,1,4,0,Sunday,Evening,84,120.8
REQ_00165,2024-06-12T11:00:00,SA,Rural,93.71,Small_Business,2,2,43.14,23.44,HFC,None,Coastal,Mixed,Medium,Seasonal,23.9,0.4,9.5,0,0,0,0,8,0,Wednesday,Morning,104,159.0
REQ_00166,2024-01-30T23:00:00,NSW,Urban,3448.7,Detached_House,1,1,3.44,1.69,HFC,4G_only,Outback,Mixed,Low,Sealed,25.8,4.3,2.6,0,0,0,1,2,0,Tuesday,Night,67,81.6
REQ_00167,2024-12-27T16:00:00,SA,Urban,7592.96,Detached_House,2,1,3.42,1.79,FTTN,4G_only,Coastal,Sand,Low,Seasonal,25.9,2.1,18.5,0,0,0,1,22,0,Friday,Afternoon,76,88.0
REQ_00168,2024-11-07T04:00:00,NSW,Suburban,1190.59,Highrise_Office,30,15,0.99,1.96,FTTP,None,Coastal,Sand,Medium,Sealed,12.7,4.0,13.8,0,0,0,1,11,0,Thursday,Night,68,94.1
REQ_00169,2024-11-19T11:00:00,ACT,Urban,5600.99,Industrial,2,2,2.74,0.8,FTTP,5G_available,Flat,Sand,Low,Sealed,19.7,0.0,15.1,0,0,0,1,24,0,Tuesday,Morning,77,78.9
REQ_00170,2024-07-30T21:00:00,ACT,Remote,43.33,Townhouse,2,1,8.58,39.8,Fixed_Wireless,ADSL,Flat,Rock,Low,Sealed,14.1,1.2,27.9,0,0,0,0,15,0,Tuesday,Evening,111,123.8
REQ_00171,2024-11-23T18:00:00,VIC,Rural,196.32,Industrial,3,2,30.49,3.85,Fixed_Wireless,None,Mountainous,Rock,High,Sealed,14.2,0.0,15.3,0,0,0,1,35,0,Saturday,Evening,106,223.9
REQ_00172,2024-05-22T15:00:00,NT,Remote,16.19,Small_Business,1,1,48.09,30.78,HFC,4G_only,Flat,Mixed,Low,Sealed,31.4,4.8,24.1,0,0,0,1,7,0,Wednesday,Afternoon,93,95.1
REQ_00173,2024-05-18T14:00:00,WA,Rural,128.7,Townhouse,2,1,36.99,4.72,Satellite,Cable,Outback,Mixed,Low,Unsealed,27.0,1.0,14.5,0,0,0,1,1,0,Saturday,Afternoon,119,198.5
REQ_00174,2024-07-03T06:00:00,WA,Urban,3916.21,Apartment,22,3,4.76,1.77,Fixed_Wireless,ADSL,Flat,Rock,Medium,Sealed,19.6,0.3,9.5,0,0,0,1,6,0,Wednesday,Morning,75,79.7
REQ_00175,2024-05-05T08:00:00,NT,Rural,51.88,Small_Business,2,1,26.29,9.61,FTTN,None,Coastal,Rock,High,Sealed,33.0,0.0,13.5,0,0,1,1,13,0,Sunday,Morning,102,151.4
REQ_00176,2024-09-19T09:00:00,VIC,Suburban,2731.4,Apartment,23,20,2.59,0.69,FTTN,5G_available,Hilly,Rock,Low,Sealed,10.3,1.7,10.6,0,0,0,1,3,0,Thursday,Morning,84,81.1
REQ_00177,2024-01-12T06:00:00,SA,Urban,7216.73,Highrise_Office,12,8,0.43,2.21,Fixed_Wireless,None,Coastal,Rock,Medium,Unsealed,20.0,4.2,24.7,0,0,0,1,9,0,Friday,Morning,92,119.7
REQ_00178,2024-02-27T12:00:00,TAS,Suburban,2307.82,Small_Business,2,1,2.3,2.66,FTTN,5G_available,Flat,Sand,Medium,Sealed,8.8,0.0,10.2,0,0,0,1,15,0,Tuesday,Afternoon,68,75.2
REQ_00179,2024-03-18T01:00:00,QLD,Remote,15.84,Detached_House,1,1,10.72,15.47,Fixed_Wireless,Cable,Coastal,Sand,Low,Sealed,33.7,2.2,1.2,0,0,0,0,11,0,Monday,Night,105,114.4
REQ_00180,2024-06-04T02:00:00,TAS,Urban,5584.82,Highrise_Office,34,25,0.82,1.72,FTTP,None,Coastal,Rock,Low,Unsealed,11.3,3.6,8.2,0,0,0,1,8,0,Tuesday,Night,61,102.3
REQ_00181,2024-05-08T00:00:00,QLD,Suburban,805.08,Small_Business,2,1,0.35,0.25,FTTN,ADSL,Flat,Sand,Medium,Sealed,28.2,2.3,11.3,0,0,0,0,1,0,Wednesday,Night,76,111.6
REQ_00182,2024-10-23T02:00:00,ACT,Rural,99.09,Apartment,6,3,42.27,1.45,FTTN,ADSL,Coastal,Clay,High,Sealed,15.0,2.6,14.5,0,0,0,1,18,0,Wednesday,Night,102,114.9
REQ_00183,2024-02-11T08:00:00,NT,Urban,7785.73,Detached_House,1,1,2.51,0.44,Fixed_Wireless,ADSL,Coastal,Sand,High,Seasonal,31.1,2.4,16.8,0,0,0,1,5,0,Sunday,Morning,96,120.4
REQ_00184,2024-11-27T07:00:00,TAS,Suburban,2954.76,Industrial,4,4,1.1,0.16,FTTP,Cable,Mountainous,Clay,Medium,Seasonal,5.6,0.5,12.1,0,0,0,1,8,0,Wednesday,Morning,73,96.3
REQ_00185,2024-01-03T01:00:00,QLD,Rural,89.39,Highrise_Office,31,30,19.95,37.83,FTTP,5G_available,Hilly,Clay,Medium,Sealed,29.2,2.0,24.2,0,0,0,0,8,0,Wednesday,Night,105,144.2
REQ_00186,2024-07-04T16:00:00,TAS,Suburban,2950.92,Highrise_Office,39,2,4.86,0.43,FTTP,4G_only,Flat,Rock,Low,Unsealed,13.5,0.6,22.1,0,0,0,1,6,0,Thursday,Afternoon,71,88.7
REQ_00187,2024-09-17T01:00:00,NT,Suburban,1707.6,Small_Business,2,2,4.85,1.85,Fixed_Wireless,None,Mountainous,Sand,Medium,Sealed,23.4,0.0,16.5,0,0,0,1,14,0,Tuesday,Night,86,120.9
REQ_00188,2024-02-24T10:00:00,TAS,Urban,5894.17,Highrise_Office,25,4,1.4,0.11,HFC,None,Hilly,Mixed,Medium,Unsealed,20.9,0.0,13.9,0,0,0,1,3,0,Saturday,Morning,80,99.4
REQ_00189,2024-04-12T13:00:00,VIC,Suburban,2200.28,Townhouse,2,1,2.8,2.82,FTTP,ADSL,Hilly,Rock,High,Sealed,25.2,1.9,7.8,0,0,0,1,3,0,Friday,Afternoon,65,58.9
REQ_00190,2024-05-25T10:00:00,SA,Rural,178.56,Townhouse,2,2,22.85,29.21,FTTP,5G_available,Mountainous,Clay,Medium,Sealed,25.8,0.0,29.0,0,0,0,1,4,0,Saturday,Morning,91,134.0
REQ_00191,2024-02-17T06:00:00,VIC,Suburban,2346.81,Detached_House,1,1,0.57,2.74,HFC,Cable,Hilly,Rock,High,Sealed,17.6,0.0,0.0,0,0,0,1,13,0,Saturday,Morning,82,84.4
REQ_00192,2024-07-01T02:00:00,NSW,Urban,4707.76,Industrial,2,2,3.77,2.24,Fixed_Wireless,ADSL,Hilly,Mixed,Medium,Sealed,21.4,1.2,13.5,0,0,0,1,13,0,Monday,Night,96,92.3
REQ_00193,2024-01-13T06:00:00,SA,Suburban,1172.13,Townhouse,2,2,3.98,1.29,FTTN,4G_only,Coastal,Rock,Medium,Sealed,23.0,4.4,22.2,0,0,0,1,11,1,Saturday,Morning,74,68.0
REQ_00194,2024-11-02T08:00:00,QLD,Urban,2807.14,Small_Business,1,1,0.34,0.71,FTTN,ADSL,Hilly,Rock,High,Sealed,23.2,0.0,20.9,0,0,0,0,10,0,Saturday,Morning,80,118.4
REQ_00195,2024-02-03T10:00:00,TAS,Remote,40.49,Detached_House,1,1,26.72,21.89,Fixed_Wireless,Cable,Flat,Rock,Low,Sealed,12.4,4.3,4.4,0,0,0,1,5,0,Saturday,Morning,100,93.1
REQ_00196,2024-04-28T22:00:00,NT,Urban,3006.59,Apartment,19,19,4.18,1.11,FTTP,5G_available,Outback,Mixed,Low,Unsealed,28.9,1.2,17.3,0,0,0,1,9,0,Sunday,Night,81,114.7
REQ_00197,2024-10-10T23:00:00,QLD,Rural,140.32,Highrise_Office,25,23,2.1,29.03,Fixed_Wireless,None,Hilly,Mixed,High,Sealed,20.3,0.0,29.0,0,0,0,0,0,0,Thursday,Night,106,158.0
REQ_00198,2024-12-12T02:00:00,SA,Suburban,1055.9,Apartment,11,7,0.48,1.23,Satellite,Cable,Hilly,Clay,Medium,Sealed,16.9,0.0,23.2,0,0,0,1,8,0,Thursday,Night,90,102.5
REQ_00199,2024-04-03T10:00:00,SA,Suburban,2241.07,Industrial,1,1,1.77,1.69,HFC,ADSL,Flat,Sand,Medium,Unsealed,25.9,7.7,15.5,0,0,0,1,10,0,Wednesday,Morning,66,68.6
REQ_00200,2024-08-01T14:00:00,TAS,Rural,155.73,Townhouse,2,1,43.15,27.26,FTTP,None,Outback,Clay,Low,Sealed,13.5,0.6,12.9,0,0,0,1,32,0,Thursday,Afternoon,105,208.7
REQ_00201,2024-10-09T05:00:00,ACT,Suburban,2478.9,Highrise_Office,38,15,2.44,0.32,FTTN,5G_available,Outback,Sand,Low,Sealed,16.7,6.0,11.3,0,0,0,1,1,0,Wednesday,Night,81,106.0
REQ_00202,2024-07-18T04:00:00,TAS,Rural,92.84,Townhouse,2,2,47.24,2.67,HFC,ADSL,Hilly,Clay,Medium,Sealed,15.4,0.8,16.2,0,0,0,1,18,0,Thursday,Night,87,85.3
REQ_00203,2024-08-22T10:00:00,NSW,Urban,3901.63,Detached_House,2,1,2.02,2.51,Fixed_Wireless,4G_only,Outback,Mixed,Low,Unsealed,16.3,2.0,23.4,0,0,0,0,1,0,Thursday,Morning,87,152.2
REQ_00204,2024-04-28T22:00:00,QLD,Urban,5903.58,Highrise_Office,26,12,3.76,0.59,FTTN,ADSL,Outback,Rock,Medium,Sealed,32.4,0.0,17.4,0,0,0,1,21,0,Sunday,Night,63,104.5
REQ_00205,2024-05-31T21:00:00,NT,Suburban,891.19,Townhouse,2,2,1.17,1.01,FTTN,None,Mountainous,Sand,High,Sealed,30.1,0.7,9.5,0,0,0,1,10,0,Friday,Evening,74,101.1
REQ_00206,2024-11-07T21:00:00,NSW,Suburban,2490.6,Townhouse,2,1,3.25,1.04,Satellite,4G_only,Outback,Clay,Medium,Sealed,9.4,0.0,19.8,0,0,0,1,13,0,Thursday,Evening,93,97.1
REQ_00207,2024-02-21T06:00:00,QLD,Suburban,2445.06,Industrial,2,2,3.55,1.17,HFC,4G_only,Hilly,Clay,Low,Seasonal,26.1,0.0,14.5,0,0,0,0,31,0,Wednesday,Morning,62,162.5
REQ_00208,2024-01-16T05:00:00,VIC,Urban,7272.77,Small_Business,2,2,0.65,2.27,FTTN,None,Hilly,Mixed,Medium,Sealed,22.3,4.0,34.6,0,0,0,1,5,0,Tuesday,Night,62,62.6
REQ_00209,2024-07-10T10:00:00,NT,Rural,84.17,Industrial,3,3,38.69,25.33,Fixed_Wireless,4G_only,Outback,Clay,Medium,Seasonal,29.2,1.5,23.7,0,0,0,1,29,0,Wednesday,Morning,105,136.0
REQ_00210,2024-05-26T17:00:00,NT,Suburban,2268.49,Townhouse,2,1,4.66,2.79,Satellite,ADSL,Outback,Rock,Medium,Sealed,34.7,0.3,3.2,0,0,0,1,59,0,Sunday,Evening,88,178.2
REQ_00211,2024-07-01T15:00:00,SA,Suburban,1636.91,Detached_House,2,2,4.72,0.59,Satellite,ADSL,Mountainous,Clay,High,Seasonal,27.9,2.6,15.0,0,0,0,1,4,0,Monday,Afternoon,90,132.1
REQ_00212,2024-10-22T06:00:00,SA,Suburban,1632.28,Industrial,2,2,0.32,0.6,Fixed_Wireless,ADSL,Mountainous,Rock,Low,Sealed,15.8,0.8,30.2,0,0,0,1,15,0,Tuesday,Morning,84,93.5
REQ_00213,2024-04-26T05:00:00,ACT,Rural,130.3,Small_Business,2,2,30.52,28.4,Fixed_Wireless,5G_available,Hilly,Rock,Low,Seasonal,23.6,0.0,20.9,0,0,0,1,13,0,Friday,Night,111,131.5
REQ_00214,2024-11-03T14:00:00,VIC,Urban,3362.38,Small_Business,2,2,3.52,1.85,HFC,4G_only,Hilly,Clay,High,Sealed,14.3,1.9,12.2,0,0,0,1,7,0,Sunday,Afternoon,69,63.8
REQ_00215,2024-09-08T10:00:00,SA,Urban,5087.2,Highrise_Office,27,2,2.48,0.26,Fixed_Wireless,None,Flat,Clay,Medium,Sealed,21.4,11.7,5.3,0,0,0,0,1,1,Sunday,Morning,94,128.8
REQ_00216,2024-01-28T01:00:00,ACT,Urban,3167.01,Small_Business,1,1,4.88,0.59,FTTP,4G_only,Flat,Clay,Medium,Seasonal,15.7,5.9,21.8,0,0,0,0,9,0,Sunday,Night,73,97.2
REQ_00217,2024-08-15T14:00:00,NT,Suburban,705.68,Detached_House,2,1,2.21,1.43,Fixed_Wireless,ADSL,Mountainous,Sand,High,Sealed,27.1,2.3,28.1,0,0,0,1,29,0,Thursday,Afternoon,86,96.3
REQ_00218,2024-05-09T07:00:00,WA,Suburban,2723.8,Industrial,3,1,3.76,1.53,Fixed_Wireless,None,Hilly,Mixed,High,Sealed,25.2,1.0,11.6,0,0,0,1,7,0,Thursday,Morning,94,118.2
REQ_00219,2024-01-08T18:00:00,NSW,Remote,38.36,Small_Business,1,1,10.42,23.14,Fixed_Wireless,None,Mountainous,Sand,Low,Sealed,18.9,2.1,36.5,0,0,0,1,12,0,Monday,Evening,120,159.7
REQ_00220,2024-03-10T10:00:00,VIC,Rural,40.65,Townhouse,2,2,48.56,23.28,FTTN,5G_available,Outback,Mixed,High,Sealed,21.7,0.0,24.7,0,0,0,1,1,0,Sunday,Morning,88,107.3
REQ_00221,2024-07-19T20:00:00,NT,Urban,7181.47,Apartment,9,2,0.46,1.19,FTTN,4G_only,Mountainous,Clay,Low,Sealed,25.7,1.4,8.0,0,0,0,0,5,0,Friday,Evening,67,107.8
REQ_00222,2024-07-22T04:00:00,SA,Suburban,1670.17,Detached_House,2,1,2.54,1.35,FTTP,4G_only,Coastal,Mixed,Medium,Sealed,19.8,1.7,24.4,0,0,0,0,0,0,Monday,Night,80,92.0
REQ_00223,2024-10-09T03:00:00,VIC,Urban,5855.21,Detached_House,1,1,0.44,0.2,FTTN,5G_available,Flat,Rock,Low,Sealed,6.7,4.5,28.8,0,0,0,0,0,0,Wednesday,Night,61,86.9
REQ_00224,2024-07-29T08:00:00,SA,Remote,10.27,Townhouse,2,2,11.59,3.17,HFC,Cable,Mountainous,Rock,Medium,Sealed,21.4,1.5,5.7,0,0,0,1,29,0,Monday,Morning,91,128.7
REQ_00225,2024-07-05T21:00:00,VIC,Suburban,1414.71,Detached_House,1,1,2.72,2.35,FTTN,Cable,Mountainous,Sand,Medium,Seasonal,15.9,0.0,5.4,0,0,0,1,16,0,Friday,Evening,78,125.6
REQ_00226,2024-11-10T02:00:00,TAS,Suburban,1765.83,Detached_House,2,2,2.39,2.07,Satellite,ADSL,Coastal,Rock,Medium,Sealed,6.9,1.3,8.5,0,0,0,1,4,1,Sunday,Night,95,83.4
REQ_00227,2024-07-22T19:00:00,NT,Rural,55.9,Industrial,4,4,10.92,15.53,Fixed_Wireless,4G_only,Outback,Sand,Medium,Sealed,24.7,9.3,17.4,0,0,0,1,10,0,Monday,Evening,119,147.4
REQ_00228,2024-11-29T10:00:00,TAS,Urban,3412.73,Highrise_Office,35,15,2.42,2.61,FTTP,4G_only,Outback,Clay,Medium,Sealed,12.0,0.0,20.8,0,0,0,1,21,0,Friday,Morning,63,88.3
REQ_00229,2024-01-06T08:00:00,TAS,Rural,90.81,Small_Business,2,1,43.43,33.08,FTTP,None,Outback,Mixed,Low,Sealed,13.8,0.0,4.6,0,0,0,1,44,1,Saturday,Morning,98,147.6
REQ_00230,2024-12-26T22:00:00,NSW,Suburban,2146.65,Highrise_Office,30,8,3.35,2.71,FTTN,Cable,Outback,Mixed,Medium,Sealed,19.6,0.5,18.7,0,0,0,0,12,0,Thursday,Night,82,121.4
REQ_00231,2024-01-25T08:00:00,NSW,Urban,7322.04,Apartment,4,2,4.34,0.75,Fixed_Wireless,Cable,Flat,Mixed,Low,Sealed,20.9,3.1,18.0,0,0,0,1,4,0,Thursday,Morning,80,76.6
REQ_00232,2024-10-05T14:00:00,NSW,Rural,15.29,Apartment,14,5,31.47,10.86,Satellite,ADSL,Mountainous,Mixed,Low,Sealed,13.7,1.6,23.7,0,0,0,1,9,0,Saturday,Afternoon,103,112.6
